index,timestamp_us,duration_us,type
18748,1073481626512.1,8.5,small
18749,1073481626572.0,19.3,big
18750,1073481626638.6,8.2,small
18751,1073481626689.8,32.9,big
18752,1073481626767.2,10.3,small
18753,1073481626828.2,18.2,big
18754,1073481626893.6,9.5,small
18755,1073481627224.8,7.2,small
18756,1073481627259.0,9.4,small
18757,1073481627313.9,8.1,small
18758,1073481627348.3,9.3,small
18759,1073481627403.2,7.6,small
18760,1073481627437.9,8.5,small
18761,1073481627493.5,11.7,small
18762,1073481627562.3,10.0,small
18763,1073481627619.5,8.4,small
18764,1073481627688.2,8.1,small
18765,1073481627743.3,6.7,small
18766,1073481627787.8,25.6,big
18767,1073481627859.1,10.9,small
18768,1073481627915.3,23.8,big
18769,1073481627985.9,9.1,small
18770,1073481628041.0,16.4,big
18771,1073481628104.3,8.8,small
18772,1073481628169.2,9.1,small
18773,1073481628225.1,8.7,small
18774,1073481628297.7,8.4,small
18775,1073481628353.0,7.9,small
18776,1073481628399.3,29.4,big
18777,1073481628474.0,10.3,small
18778,1073481628530.1,24.4,big
18779,1073481628601.7,8.3,small
18780,1073481628666.2,9.9,small
18781,1073481628722.9,8.6,small
18782,1073481628788.4,8.9,small
18783,1073481628843.9,9.6,small
18784,1073481628905.2,15.9,big
18785,1073481628968.0,8.4,small
18786,1073481629020.5,19.6,big
18787,1073481629086.1,10.4,small
18788,1073481629154.8,18.2,big
18789,1073481629219.6,7.3,small
18790,1073481629285.4,9.2,small
18791,1073481629342.8,8.5,small
18792,1073481629392.6,27.3,big
18793,1073481629466.0,8.5,small
18794,1073481629526.1,12.4,small
18795,1073481629584.2,8.5,small
18796,1073481629628.7,28.2,big
18797,1073481629701.4,11.9,small
18798,1073481629769.1,8.0,small
18799,1073481629824.5,6.4,small
18800,1073481629881.9,15.3,big
18801,1073481629943.2,8.5,small
18802,1073481630008.3,16.5,big
18803,1073481630072.3,9.9,small
18804,1073481630124.2,30.8,big
18805,1073481630201.8,8.0,small
18806,1073481630261.7,17.0,big
18807,1073481630325.8,8.6,small
18808,1073481630396.1,7.9,small
18809,1073481630452.2,8.4,small
